#original alias
Thyroid	Thyroid cancer
Histiocytic leukemia	leukemia
Local recurrence of malignant tumor of rectum	rectum cancer
Neoplasm of oropharynx	oropharynx cancer
Neuroendocrine tumour	adult astrocytic tumour
Acute monocytoid leukaemia	acute leukemia
M2 - Acute myeloblastic leukemia with maturation	acute myeloid leukemia
M1 - Acute myeloblastic leukaemia without maturation	acute leukemia
Sarcoma of soft tissue	sarcoma
Secondary cancer of brain	brain cancer
Adult T-cell leukaemia	adult T-cell leukemia
Myelodysplastic syndrome: Refractory anaemia, without ringed sideroblasts, without excess blasts	Refractory anemia with ringed sideroblasts
Angioimmunoblastic T-cell lymphoma	peripheral T-cell lymphoma
Erythroleukaemia	 acute myelogenous leukemia
Tumour of postnasal space	adult astrocytic tumour
M0 - Acute myeloblastic leukemia - undifferentiated	acute promyelocytic leukemia
LRE - Leukaemic reticuloendotheliosis	intrapelvic lymph node leukemic reticuloendotheliosis
Refractory anaemia with excess blasts	anemia
Vaquez's disease	Primary Polycythemia
AF - Atrial fibrillation	atrial fibrillation
Neoplasm of larynx	Neoplasm of the larynx
Secondary malignant neoplasm of liver	liver cancer
Tumour of cervix	cervix carcinoma
Local recurrence of malignant tumor of prostate	prostate cancer
Idiopathic Parkinson's disease	Parkinson's disease
PLL - Prolymphocytic leukaemia	prolymphocytic leukemia
Carcinoma of peritoneum	peritoneum cancer
Neoplasm of hypopharynx	hypopharynx cancer
Myelodysplastic/myeloproliferative disease	myelodysplastic/myeloproliferative neoplasm
B-CLL - B-cell chronic lymphocytic leukemia	chronic lymphocytic leukemia
Intraductal carcinoma of breast	breast carcinoma
HD - Hodgkin's disease	Hodgkin's lymphoma
Mesothelioma	benign mesothelioma
Anaplastic astrocytoma of brain	astrocytoma
Chronic eosinophilic leukaemia	leukemia
Neoplasm of abdominal esophagus	esophageal cancer
Tumour of lip	lip cancer
Congestive cardiac failure	congestive heart failure
Estrogen Receptor-positive Breast Cancer	estrogen-receptor positive breast cancer
Neutrophilic leukemia	chronic neutrophilic leukemia
Astrocytoma/Oligodendroglioma	mixed oligodendroglioma-astrocytoma
BRAF mutated colorectal cancer	colorectal cancer
Juvenile myelomonocytic leukaemia	juvenile myelomonocytic leukemia
Human epidermal growth factor 2 negative carcinoma of breast	breast carcinoma
Malignant tumour of prostate	prostate cancer
Neoplasm of biliary tract	biliary tract neoplasm
TB - Tuberculosis	tuberculosis
Carcinoma in situ	cancer
Primary intraocular non-Hodgkin malignant lymphoma	intraocular lymphoma
Type B viral hepatitis	hepatitis B
APL - Acute promyelocytic leukaemia	acute promyelocytic leukemia
RAEB-T - Refractory anaemia with excess blasts in transformation	anemia
Local recurrence of malignant tumor of pancreas	pancreas cancer
Erythroid aplasia	myelodysplastic syndrome
Non-small cell carcinoma of lung, TNM stage 2	non-small cell lung carcinoma
Neoplasm of pancreas	pancreatic carcinoma
Colitis gravis	colitis
Ewing sarcoma of bone	Ewing sarcoma
Extensive Stage Small Cell Lung Cancer	non-small cell lung carcinoma
Peripheral neuroectodermal tumour	neuroectodermal tumor
Inflammatory carcinoma of breast	inflammatory breast carcinoma
Non-small cell carcinoma of lung, TNM stage 1	non-small cell lung carcinoma
Germ cell tumor of ovary	ovarian germ cell cancer
Carcinoid tumor	gastrointestinal system cancer
Neoplasm of major salivary gland	salivary gland cancer
Cholangiocarcinoma of biliary tract	biliary tract cancer
NF - Neurofibromatosis	neurofibromatosis
Primitive neuroectodermal tumor	neuroectodermal tumor
Metastatic castration resistant prostate cancer	prostate cancer
Neoplasm of liver	liver cancer
Oligodendroglioma of brain	brain oligodendroglioma
Cancer of salivary gland	salivary gland cancer
Metastatic tumour of bone	bone cancer
Neutropenic disorder	neutropenia
Post-transplantation lymphoproliferative syndrome	lymphoproliferative syndrome
Tumour of gastrointestinal tract	gastrointestinal system cancer
Intraductal carcinoma in situ of breast	breast carcinoma in situ
Large cell carcinoma of lung	lung large cell carcinoma
Acute eosinophilic leukemia	acute leukemia
Basophilic leukemia	basophilic carcinoma
MM - Malignant melanoma of eye	ocular melanoma
Neoplasm of common bile duct	common bile duct neoplasm
Neoplasm of gallbladder	gallbladder cancer
Refractory anemia with sideroblasts	Refractory anemia with ringed sideroblasts
EGFR mutated GBM	glioblastoma multiforme
HIV associated Hodgkin Lymphoma	non-Hodgkin lymphoma
Hepatosplenic T-cell lymphoma	T-cell lymphoma
Neoplasm of small intestine	small intestine neoplasm
Neoplasm of stomach	Neoplasm of the stomach
Malignant tumour of small bowel	small bowel fibrosarcoma
Peripheral arterial occlusive disease	peripheral vascular disease
Squamous cell carcinoma of oesophagus	esophagus squamous cell carcinoma
Metastatic squamous cell carcinoma	squamous cell carcinoma
Neoplasm of peripheral nerves of thorax	peripheral nerve sheath neoplasm
Local recurrence of malignant tumor of esophagus	esophageal cancer
Primary central nervous system lymphoma	central nervous system lymphoma
Adenoid Cystic Carcinoma	lung adenoid cystic carcinoma
Plasma cell myeloma/plasmacytoma	multiple myeloma
Adenocarcinoma of prostate	prostate adenocarcinoma
Neoplasm of extrahepatic bile ducts	biliary tract neoplasm
Neoplasm of meninges	spinal meninges cancer
Tumor of endocrine pancreas	pancreatic endocrine carcinoma
Local recurrence of malignant tumour of urinary bladder	urinary bladder cancer
Refractory cytopenia with multilineage dysplasia	cytopenia
Primary malignant neoplasm of bone	bone cancer
Tumour of tongue	tongue cancer
ER+ HER2- PIK3CA Breast cancer	Her2-receptor negative breast cancer
Histiocytic syndrome	malignant histiocytic disease
Local recurrence of malignant tumour of cervix	cervix carcinoma
Mast cell leukaemia	mast-cell leukemia
Metastatic malignant melanoma	melanoma
Neoplasm of urethra	urethral benign neoplasm
Benign adenomatous neoplasm	benign neoplasm
Infiltrating lobular carcinoma of breast	breast cancer
Local recurrence of malignant tumor of gallbladder	gallbladder sarcoma
Malignant peripheral nerve sheath tumour	malignant melanocytic neoplasm of the peripheral nerve sheath
Mature B-cell leukaemia Burkitt-type	Burkitt lymphoma
Primary cutaneous T-cell lymphoma	cutaneous T cell lymphoma
Uterine sarcoma	uterine corpus sarcoma
Acute myeloid leukaemia with multilineage dysplasia	acute leukemia
Adenocarcinoma of endometrium	endometrial adenocarcinoma
Childhood myelodysplastic syndrome	myelodysplastic syndrome
Fanconi's hypoplastic anaemia	Fanconi anemia
Malignant lymphoma - lymphoplasmacytic	lymphoplasmacytic lymphoma
Trabecular cell carcinoma of skin	Merkel cell carcinoma
Endometrium	endometrial cancer
Pancreas	Pancreatic Cancer
Bladder	bladder cancer
Stomach	stomach cancer
Glioma	malignant glioma
Glioblastoma	glioblastoma classical subtype
Neoplasm of the larynx	larynx neoplasm
Neoplasm of the head and neck	head and neck neoplasm
Anaplastic thyroid carcinoma	thyroid carcinoma
Myelodysplasia	myelodysplastic syndrome
Single lineage myelodysplasia	myelodysplastic syndrome
Congenital neutropenia	neutropenia
Neoplasm of the colon	colon neoplasm
Cutaneous leiomyoma	leiomyoma cutis
Myelodisplasic syndrome	myelodisplastic syndrome
COADREAD	Colorectal adenocarcinoma
DLBC	diffuse large B-cell lymphoma
KIRC	Kidney Chromophobe
KIRP	clear cell renal cell carcinoma
LGG	Brain Glioma
LIHC	hepatocellular carcinoma
MESO	benign mesothelioma
PCPG	adrenal gland pheochromocytoma;Paraganglioma
SKCM	skin melanoma
TGCT	testicular germ cell cancer
